family;ratio_gapless;ratio_homstrad
cyt5;0.769;0.886
cytb;0.75;0.96
cytc;0.708;0.938
cyto;0.918;0.993
cytprime;0.868;0.958
DAHP_synth_1;0.664;0.768
dCMP_cyt_deam;0.699;0.979
DEAD;0.313;0.701
DEATH;0.368;0.857
dhfr;0.83;0.949
DHH;0.963;0.995
DHHA2;0.967;0.974
DHOdehase;0.692;0.875
DISIN;0.581;0.953
DMRL_synthase;0.807;0.845
DNA_pol3_beta;0.768;0.953
DNA_PPF;0.727;0.844
dpo1;0.66;0.825
dsrm;0.747;0.838
DUF170;0.689;0.952
dutpase;0.841;0.957
E2_C;0.805;0.986
ech;0.896;0.976
EF1BD;0.978;1.0
EFTU_2;0.694;0.965
EFTU_C;0.869;1.0
EF_TS;0.497;0.33
egf;0.377;0.692
EGF_Lam;0.71;0.795
ENTH;0.479;0.8
Epimerase;0.666;0.937
ets;0.705;0.987
Extradiol_dioxy;0.84;0.963
fabp;0.836;0.918
FAD-oxidase_C;0.417;0.547
FAD-oxidase_NC;0.489;0.65
FAD_binding_4;0.596;0.817
Fapy_DNA_glyco;0.871;0.967
fbpase;0.866;0.97
fer2;0.743;0.774
fer4;0.164;0.304
ferritin;0.867;0.993
fibrinogen_C;0.728;0.984
Filamin;0.73;0.876
fkbp;0.849;0.991
flav;0.727;0.917
FN1;0.792;0.952
fn3;0.42;0.5
Fork_head;0.777;0.925
GAF;0.645;0.899
GAL4;0.673;1.0
galpha;0.899;0.987
GATA;0.648;0.935
GATase;0.692;0.942
GATase_2;0.456;0.938
GEL;0.568;0.892
ghf10;0.786;0.904
ghf11;0.866;0.966
ghf14;0.746;0.949
ghf18;0.61;0.81
ghf22;0.908;0.966
ghf33;0.526;0.807
ghf34;0.945;0.974
ghf5;0.478;0.656
ghf6;0.754;0.835
ghf7;0.774;0.957
GLA;0.618;0.941
glnasn;0.946;0.987
gluts;0.858;0.95
Glyco_hydro_18;0.627;0.931
Glyco_hydro_18_D1;0.613;0.854
Glyco_hydro_18_D2;0.637;0.931
Glyco_hydro_2;0.626;0.854
gpdh;0.897;0.972
gpr;0.925;0.986
grs;0.413;0.727
gtp;0.689;0.903
Haloperoxidase;0.614;0.855
HATPase_c;0.537;0.746
helicase_C;0.583;0.672
helicase_NC;0.46;0.643
hemopexin;0.821;0.923
hexapep;0.531;0.739
hexokinase;0.946;0.988
HGTP_anticodon;0.714;0.944
hip;0.678;0.864
histone;0.711;0.928
hla;1.0;1.0
HLH;0.552;0.868
HMA;0.944;1.0
HMG_box;0.708;0.905
hom;0.463;0.886
hormone_rec;0.65;0.899
hr;0.78;0.984
HTH_AraC;0.676;0.938
Huristasin;0.552;0.622
icd;0.759;0.954
igC1;0.873;0.978
igcon;0.748;0.819
igI;0.515;0.735
igps;0.688;0.876
igV;0.598;0.722
igvar-h;0.796;0.963
igvar-l;0.746;0.934
il8;0.602;0.9
inositol_P;0.567;0.785
int;0.739;0.945
intb;0.745;0.867
Invasin;0.838;0.932
KAS;0.761;0.954
kazal;0.867;0.942
kex;0.777;0.938
kinase;0.413;0.7
KISc;0.717;0.939
kringle;0.758;0.947
kunitz;0.844;0.981
lacI;0.81;0.902
lamb;0.806;0.89
laminin_G;0.692;0.877
ldh;0.718;0.921
LDLa;0.708;0.912
leukocidin;0.874;0.897
Levi_coat;0.859;0.94
ligase-CoA;0.699;0.953
LIM;0.674;0.983
lipase;0.962;0.993
Lipase_3;0.907;0.949
lipocalin;0.571;0.752
LMWPc;0.963;0.987
LRR;0.676;0.849
lta;0.958;0.984
ltb;0.933;0.99
Lum_binding;0.807;0.978
LuxS;0.829;0.949
lyase_1;0.719;0.913
MCR_alpha;0.958;0.993
MCR_alpha_N;0.929;0.989
MCR_alpha_NC;0.944;0.991
MCR_beta;0.965;1.0
MCR_beta_N;0.979;1.0
MCR_beta_NC;0.971;1.0
MCR_gamma;0.956;0.996
mdd;0.957;0.997
Methyltransf_1;0.765;0.86
MHC_II_alpha_NC;0.952;0.989
MHC_II_beta_NC;0.82;0.994
MHC_II_C;0.895;0.989
MHC_II_N;0.553;0.865
MIF;0.966;0.991
mle;0.899;0.971
mmob;0.857;0.905
mmp;0.85;0.98
MM_CoA_mutase;0.6;0.867
MoCF_biosynth;0.627;0.865
mofe;0.661;0.887
molybdopterin;0.716;0.823
msb;0.608;0.74
mthina;1.0;1.0
Mur_ligase_C;0.691;0.864
myb_DNA-binding;0.738;0.867
mycin;0.914;0.953
NADHdh_2;0.842;0.97
ndk;0.941;0.986
neurotox;0.763;0.828
ngf;0.905;0.952
NiFeSe_Hases;0.972;0.994
Nitroreductase;0.632;0.924
NO_synthase;0.724;0.961
NTP_transferase;0.77;0.94
NTP_transf_2_2;0.637;0.965
oat;0.747;0.92
Orn_DAP_Arg_deC;0.718;0.984
OTCace;0.791;0.993
oxidored_q6;0.884;0.976
P;0.758;0.979
p450;0.577;0.859
parv;0.928;0.981
PAS;0.683;0.929
PA_phosphatase;0.734;0.938
pdc;0.789;0.873
PDZ;0.752;0.939
pec_lyase;0.573;0.69
PEP-utilizers;0.624;0.878
Peptidase_M24;0.564;0.884
Peptidase_S21;0.819;0.962
peroxidase;0.767;0.859
PGAM;0.706;0.962
pgk;0.89;0.99
PH;0.237;0.246
Phage_integrase;0.587;0.833
phc;0.829;0.92
phero;0.881;0.892
phoslip;0.836;0.902
phs;0.892;0.93
pilin;0.548;0.701
PK;0.849;0.947
plantltp;0.787;0.919
planttoxin;0.857;0.976
pnp;0.795;0.927
porin;0.679;0.73
pot;0.886;0.984
pp;0.75;1.0
ppase;0.578;0.964
profilin;0.84;0.95
Propep_M14;0.867;0.929
proteasome;0.494;0.819
protg;0.667;0.946
Pro_CA;0.757;0.905
prt;0.623;0.873
PSI_PsaE;0.782;0.967
PTB;0.626;0.895
ptpase;0.842;0.973
recombinase;0.827;0.86
reductases;0.59;0.551
rep;0.713;0.903
response_reg;0.569;0.874
RGS;0.831;0.976
Rhodanese;0.488;0.686
Ribosomal_L1;0.765;0.841
Ribosomal_L6_D;0.691;0.836
Ribosomal_L7Ae;0.817;0.951
ricin;0.836;0.97
RING;0.716;0.792
rnase;0.926;1.0
rnasemam;0.756;0.912
RNase_HII;0.851;0.99
rnh;0.712;0.974
rnr;0.774;0.978
RRF;0.771;0.861
rrm;0.397;0.65
rub;0.815;1.0
RuBisCO_large;0.827;0.975
RuBisCO_large_N;0.682;0.943
RuBisCO_large_NC;0.784;0.964
RuBisCO_small;0.602;0.99
rvp;0.718;0.904
S4;0.979;1.0
SAP;0.648;0.943
SBP_bacterial_1;0.784;0.93
scorptoxin;0.792;0.912
sdr;0.514;0.777
seatoxin;0.679;0.833
serbact;0.844;0.971
serpin;0.794;0.963
sh2;0.651;0.81
sh3;0.422;0.783
slectin;0.88;0.976
Sm;0.66;0.887
sodcu;0.817;0.971
sodfe;0.772;0.953
SRF-TF;0.835;1.0
Stap_Strp_toxin;0.7;0.834
sti;0.769;0.9
subt;0.55;0.85
sugbp;0.798;0.931
Sulfotransfer;0.486;0.889
svmp;0.98;1.0
S_100;0.689;0.887
tbpc;0.912;0.994
tgfb;0.475;0.875
THAUMATIN;0.917;0.97
thionin;0.938;0.956
thiored;0.496;0.875
TIG;0.909;0.962
TIL;0.586;0.843
tim;0.931;0.996
tln;0.802;0.963
tms;0.71;0.952
TMV_coat;0.938;0.987
TNF;0.733;0.953
Toprim;0.585;0.848
toxin;0.518;0.651
toxin_2;0.489;0.87
TPR;0.389;0.4
transketolase_C;0.718;0.94
transketolase_PC;0.7;0.793
transket_pyr;0.644;0.908
TRANSTHYRETIN;0.95;1.0
trfl;0.406;0.965
tRNA-synt_1;0.581;0.863
tRNA-synt_2b;0.459;0.728
tRNA_bind;0.74;0.904
tryp_alpha_amyl;0.795;0.901
TyrKc;0.731;0.952
UBQ;0.961;1.0
uce;0.646;0.923
UcrQ;0.817;0.974
UCR_TM;0.787;0.949
ung;0.915;1.0
UPF0076;0.953;0.992
WW;0.569;0.931
xia;0.962;0.979
Yers_vir_YopE;0.654;0.955
YgbB;0.936;0.973
